Departamentos;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AMAZONAS;3.233472;3.74083;3.861574;3.984218;4.364242;4.718973;4.795923;4.919252;5.321526;5.787037
ANCASH;19.569956;17.312725;18.942827;20.326178;22.859412;25.518708;24.502598;24.456835;36.8562;37.56802
APURIMAC;2.984641;3.258734;3.566427;7.653145;9.891744;9.539994;9.69902;10.618894;15.949822;14.509524
AREQUIPA;26.582004;27.735918;29.029355;34.117544;37.528274;39.776233;40.223085;36.13948;47.956434;51.02863
AYACUCHO;6.21872;6.314595;6.790685;7.215604;7.937801;8.466037;9.074883;8.327377;10.293049;10.782524
CAJAMARCA;14.303582;13.981262;14.43878;14.642859;15.666453;16.141488;17.052727;16.714741;20.23357;21.638447
CUSCO;23.326319;22.290912;20.016159;20.88686683;23.107328;26.655916;25.189295;21.883457;35.302687;43.310224
HUANCAVELICA;3.789305;4.043568;4.280653;4.601593;4.90465;5.29988;5.61006;5.587456;6.196722;6.377942
HUANUCO;5.644734;6.060012;6.831262;7.482819;8.138843;8.746692;9.250385;8.586691;9.813543;11.317055
ICA;17.886579;18.574928;20.475514;20.952248;23.148262;24.892056;27.05812;25.919225;40.312423;41.958753
JUNIN;12.681967;14.358743;16.465773;17.199824;18.728785;19.723557;20.02888;19.218456;25.841809;26.825246
LA LIBERTAD;24.716645;25.33706;27.260397;29.149894;30.397595;31.459662;33.175304;32.979506;38.177582;40.023319
LAMBAYEQUE;12.16101;13.037238;14.275462;15.225187;15.973634;16.741841;17.290952;16.988534;20.368016;21.726226
LIMA;219.031044;234.526105;252.896559;271.292184;282.951095;298.775031;312.839243;285.224976;326.718488;353.514181
CALLAO;23.549957;25.242158;28.606121;30.415118;32.362636;34.448742;35.942042;31.706066;38.690809;43.013288
LORETO;9.850587;10.104692;9.178965;9.317334;10.049789;11.236331;11.543889;10.398477;12.7764;14.739243
MADRE DE DIOS;3.115514;2.465589;3.119029;3.926628;3.560621;3.380603;3.22467;2.523072;2.889096;3.098917
MOQUEGUA;8.265809;7.66581;7.462886;7.403309;8.471115;9.068574;8.476572;8.845656;14.457981;16.05694
PASCO;5.056417;5.12225;5.233815;5.647209;6.228413;6.264438;6.528783;5.83927;9.067755;9.163632
PIURA;22.441495;23.84629;25.249871;25.83414288;26.521309;30.28546;32.329045;29.340162;35.790878;39.695077
PUNO;11.065166;12.008971;12.347211;13.853273;14.703814;15.252919;15.884353;14.821873;17.598269;19.01001
SAN MARTIN;5.805239;6.707637;7.290012;7.661279;8.330047;8.558878;8.582594;8.811451;9.802959;10.780211
TACNA;5.979087;6.286784;6.474765;6.852502;7.659611;8.267316;9.552555;9.341512;12.220632;12.20465
TUMBES;2.916727;3.146341;3.120847;3.227239;3.548543;3.820966;4.137649;3.886239;4.308894;5.055552
UCAYALI;4.697428;4.990072;5.37947;5.677898685;5.957449;6.372797;6.69913;6.114842;7.367653;8.255579
