Departamento;2017;2018;2019;2020;2021;2022;;;;;;
AMAZONAS;0.382398;0.419833;0.423863;0.426806;0.428512;0.429483;;;;;;
ANCASH;1.086021;1.155451;1.169522;1.180638;1.188391;1.194156;;;;;;
APURIMAC;0.406981;0.427323;0.429587;0.430736;0.430609;0.42972;;;;;;
AREQUIPA;1.373793;1.428708;1.464638;1.497438;1.526669;1.553994;;;;;;
AYACUCHO;0.616449;0.659061;0.664494;0.668213;0.669979;0.670579;;;;;;
CAJAMARCA;1.351149;1.438325;1.447891;1.453711;1.455245;1.454217;;;;;;
CALLAO;0.98551;1.078789;1.105512;1.129854;1.15148;1.171648;;;;;;
CUSCO;1.205341;1.32053;1.340457;1.357075;1.369932;1.380594;;;;;;
HUANCAVELICA;0.353838;0.376346;0.37126;0.365317;0.358356;0.350845;;;;;;
HUANUCO;0.725848;0.757467;0.759851;0.760267;0.758416;0.755213;;;;;;
ICA;0.838645;0.923175;0.9501;0.975182;0.998144;1.02005;;;;;;
JUNIN;1.245718;1.335139;1.350021;1.361467;1.369003;1.374221;;;;;;
LA LIBERTAD;1.769057;1.938501;1.979901;2.016771;2.048492;2.077345;;;;;;
LAMBAYEQUE;1.190356;1.270295;1.292105;1.310785;1.325912;1.338994;;;;;;
LIMA;18.930018;10.180641;10.416139;10.62847;10.81445;10.986006;;;;;;
LORETO;0.888824;1.00035;1.015212;1.027559;1.037055;1.044884;;;;;;
MADRE DE DIOS;0.139257;0.161324;0.167674;0.173811;0.179688;0.185478;;;;;;
MOQUEGUA;0.174583;0.186371;0.189781;0.19274;0.195185;0.197337;;;;;;
PASCO;0.255937;0.271704;0.272157;0.271904;0.270842;0.269296;;;;;;
PIURA;1.855605;1.974368;2.013517;2.047954;2.077039;2.103099;;;;;;
PUNO;1.17686;1.236836;1.239022;1.237997;1.233277;1.226353;;;;;;
SAN MARTIN;0.812604;0.866861;0.884283;0.899648;0.912674;0.924384;;;;;;
TACNA;0.32729;0.354644;0.363205;0.370974;0.377842;0.384222;;;;;;
TUMBES;0.224248;0.241321;0.246699;0.251521;0.255712;0.259556;;;;;;
UCAYALI;0.495794;0.558767;0.574509;0.58911;0.6024;0.615024;;;;;;
