Departamento,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AMAZONAS,354269,361824,369378,376933,384487,392042,382398,419833,423863,426806,428512,429483,444923
ANCASH,1004357,1022946,1041535,1060124,1078713,1097302,1086021,1155451,1169522,1180638,1188391,1194156,1227424
APURIMAC,395541,399104,402667,406229,409792,413355,406981,427323,429587,430736,430609,429720,438296
AREQUIPA,1176053,1211130,1246207,1281284,1316361,1351437,1373793,1428708,1464638,1497438,1526669,1553994,1596975
AYACUCHO,583542,592317,601092,609866,618641,627416,616449,659061,664494,668213,669979,670579,688841
CAJAMARCA,1294528,1310868,1327209,1343549,1359890,1376231,1351149,1438325,1447891,1453711,1455245,1454217,1490615
CALLAO,818901,852419,885936,919453,952971,986488,985510,1078789,1105512,1129854,1151480,1171648,1221109
CUSCO,1076152,1105897,1135643,1165388,1195133,1224879,1205341,1320530,1340457,1357075,1369932,1380594,1433097
HUANCAVELICA,380844,378705,376566,374426,372287,370148,353838,376346,371260,365317,358356,350845,355172
HUANUCO,716393,720681,724970,729258,733546,737834,725848,757467,759851,760267,758416,755213,767852
ICA,669893,702951,736008,769066,802123,835181,838645,923175,950100,975182,998144,1020050,1066584
JUNIN,1155770,1177357,1198944,1220531,1242118,1263706,1245718,1335139,1350021,1361467,1369003,1374221,1414816
LA LIBERTAD,1508237,1562760,1617282,1671804,1726327,1780849,1769057,1938501,1979901,2016771,2048492,2077345,2162506
LAMBAYEQUE,1062527,1089062,1115597,1142132,1168667,1195202,1190356,1270295,1292105,1310785,1325912,1338994,1380946
LIMA,8697232,8908457,9119682,9330908,9542133,9753358,9930180,10180641,10416139,10628470,10814450,10986006,11231936
LORETO,783071,808865,834658,860451,886244,912037,888824,1000350,1015212,1027559,1037055,1044884,1092590
MADRE DE DIOS,96876,105229,113581,121933,130286,138638,139257,161324,167674,173811,179688,185478,197105
MOQUEGUA,154562,158653,162743,166834,170925,175015,174583,186371,189781,192740,195185,197337,203649
PASCO,253107,254935,256762,258589,260417,262244,255937,271704,272157,271904,270842,269296,275035
PIURA,1628235,1673376,1718516,1763657,1808797,1853938,1855605,1974368,2013517,2047954,2077039,2103099,2169922
PUNO,1167800,1174536,1181272,1188009,1194745,1201481,1176860,1236836,1239022,1237997,1233277,1226353,1248633
SAN MARTIN,710566,730901,751235,771569,791904,812238,812604,866861,884283,899648,912674,924384,954579
TACNA,275109,285453,295796,306140,316483,326827,327290,354644,363205,370974,377842,384222,399231
TUMBES,191979,198394,204810,211225,217640,224056,224248,241321,246699,251521,255712,259556,268963
UCAYALI,392485,413675,434865,456055,477245,498435,495794,558767,574509,589110,602400,615024,646765
